step,time,sensor_raw_FL,sensor_raw_FR,raw_frontal,front_dist,side_danger,filtered_frontal,kalman_estimate,raw_left,raw_right,sensor_raw_L,sensor_raw_R,encoder_L,encoder_R,delta_s,kalman_gain,action
1,0.032,68.318359,63.661986,0.3,0.3,0.3,0.3,0.3,0.3,0.3,63.764687,69.729024,0.0,0.0,0.0,0.95283,FORWARD
2,0.064,69.983902,61.333959,0.3,0.299641,0.3,0.3,0.299641,0.3,0.3,71.485571,66.768527,0.03768,0.03768,0.000772,0.535495,FORWARD
3,0.096,70.272842,67.792124,0.3,0.299348,0.3,0.3,0.299348,0.3,0.3,71.729115,68.714712,0.07536,0.07536,0.000772,0.423796,FORWARD
4,0.128,67.06843,65.123234,0.3,0.299123,0.3,0.3,0.299123,0.3,0.3,69.96828,70.236257,0.11304,0.11304,0.000772,0.384159,FORWARD
5,0.16,66.817198,69.651024,0.3,0.298959,0.3,0.3,0.298959,0.3,0.3,62.721456,66.597163,0.15072,0.15072,0.000772,0.36875,FORWARD
6,0.192,65.04792,67.915157,0.3,0.298762,0.3,0.3,0.298762,0.3,0.3,65.80231,69.7463,0.19468,0.19468,0.000901,0.36255,FORWARD
7,0.224,67.428962,62.822918,0.3,0.298713,0.3,0.3,0.298713,0.3,0.3,64.971594,67.041813,0.23236,0.23236,0.000772,0.36002,FORWARD
8,0.256,70.805016,64.47865,0.3,0.29868,0.3,0.3,0.29868,0.3,0.3,68.080248,63.386777,0.27004,0.27004,0.000772,0.358983,FORWARD
9,0.288,66.480599,72.760208,0.06849,0.06849,0.3,0.230547,0.06849,0.3,0.3,63.731154,68.852901,0.30772,0.30772,0.000772,0.358556,FORWARD
10,0.32,64.940512,66.532711,0.3,0.3,0.06793,0.251383,0.3,0.06793,0.3,74.827764,64.206464,0.3454,0.3454,0.000772,0.545455,FORWARD
11,0.352,68.630137,66.837673,0.3,0.299649,0.3,0.265968,0.299649,0.3,0.3,57.399075,60.777962,0.42076,0.3454,0.000772,0.545455,FORWARD
12,0.384,59.886809,58.895127,0.3,0.299356,0.3,0.276178,0.299356,0.3,0.3,71.098193,69.270017,0.45844,0.38308,0.000772,0.427083,FORWARD
13,0.416,65.890486,67.055789,0.3,0.29913,0.068491,0.283324,0.29913,0.3,0.068491,71.894322,72.758449,0.49612,0.42076,0.000772,0.385403,FORWARD
14,0.448,64.992305,61.553297,0.3,0.298964,0.3,0.288327,0.298964,0.3,0.3,67.553042,67.641443,0.49612,0.49612,0.000772,0.369246,FORWARD
15,0.48,66.325993,71.162124,0.3,0.298765,0.3,0.291829,0.298765,0.3,0.3,67.126739,66.82733,0.54008,0.54008,0.000901,0.362751,FORWARD
16,0.512,72.53495,65.573679,0.068552,0.068552,0.3,0.224846,0.068552,0.3,0.3,64.85076,54.667887,0.57776,0.57776,0.000772,0.360103,FORWARD
17,0.544,69.833127,70.142569,0.3,0.3,0.3,0.247392,0.3,0.3,0.3,61.353531,69.067128,0.61544,0.61544,0.000772,0.545455,FORWARD
18,0.576,68.788204,65.333833,0.3,0.299649,0.3,0.263174,0.299649,0.3,0.3,71.60148,64.64162,0.65312,0.65312,0.000772,0.545455,FORWARD
19,0.608,68.456869,63.284388,0.3,0.299356,0.068122,0.274222,0.299356,0.068122,0.3,74.120345,63.42267,0.6908,0.6908,0.000772,0.427083,FORWARD
20,0.64,63.746205,66.614641,0.3,0.29913,0.3,0.281955,0.29913,0.3,0.3,68.146408,70.782245,0.76616,0.6908,0.000772,0.385403,FORWARD
21,0.672,65.876335,68.097866,0.3,0.298964,0.3,0.287369,0.298964,0.3,0.3,69.679553,69.419404,0.80384,0.72848,0.000772,0.369246,FORWARD
22,0.704,66.564172,73.487176,0.068293,0.068293,0.3,0.221646,0.068293,0.3,0.3,66.451673,65.622166,0.84152,0.76616,0.000772,0.362751,FORWARD
23,0.736,64.816288,68.155008,0.3,0.3,0.3,0.245152,0.3,0.3,0.3,60.338753,66.609739,0.8792,0.81012,0.000837,0.545455,FORWARD
24,0.768,73.454218,67.734755,0.068302,0.068302,0.3,0.192097,0.068302,0.3,0.3,67.112976,66.995902,0.92316,0.8478,0.000837,0.545455,FORWARD
25,0.8,61.459625,66.618849,0.3,0.3,0.3,0.224468,0.3,0.3,0.3,62.182255,68.679191,0.96084,0.88548,0.000772,0.545455,FORWARD
